# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	bottomWall	(-2.613212e-02 -5.838027e-04 -3.723951e-03)	(4.360032e-03 1.324531e-03 4.309555e-03)
2.000000e+02	bottomWall	(-1.856883e-02 -7.169213e-04 -4.496335e-03)	(3.053989e-03 3.532302e-04 4.449207e-03)
4.000000e+02	bottomWall	(-1.856630e-02 -7.154961e-04 -5.369397e-03)	(3.371510e-03 3.843134e-04 5.211964e-03)
6.000000e+02	bottomWall	(-1.857900e-02 -7.178332e-04 -3.714365e-03)	(2.634977e-03 5.149186e-04 4.962952e-03)
8.000000e+02	bottomWall	(-1.861138e-02 -7.175660e-04 -5.069004e-03)	(3.120513e-03 4.030446e-04 5.523003e-03)
1.000000e+03	bottomWall	(-1.863832e-02 -7.164781e-04 -4.358215e-03)	(2.564445e-03 5.215250e-04 5.115937e-03)
1.200000e+03	bottomWall	(-2.004862e-02 -7.187892e-04 -4.523184e-03)	(2.917609e-03 5.877512e-04 4.903903e-03)
1.400000e+03	bottomWall	(-1.867164e-02 -7.238450e-04 -3.832700e-03)	(2.739573e-03 6.808977e-04 5.336443e-03)
1.600000e+03	bottomWall	(-2.229932e-02 -7.183223e-04 -4.221324e-03)	(2.904356e-03 7.989806e-04 4.894545e-03)
1.800000e+03	bottomWall	(-1.859385e-02 -7.168579e-04 -3.386099e-03)	(3.807229e-03 5.194695e-04 4.449406e-03)
