# Wall shear stress
# Time        	patch         	min           	max           
0.000000e+00	bottomWall	(-2.613212e-02 -5.838027e-04 -3.723951e-03)	(4.360032e-03 1.324531e-03 4.309555e-03)
2.000000e+02	bottomWall	(-2.314105e-02 -1.106082e-04 -3.426150e-03)	(2.508674e-03 1.978472e-03 3.763232e-03)
4.000000e+02	bottomWall	(-2.356249e-02 -6.049089e-05 -4.595263e-03)	(2.137919e-03 2.102054e-03 3.861358e-03)
6.000000e+02	bottomWall	(-2.347473e-02 -7.865188e-05 -3.648969e-03)	(2.231055e-03 1.814510e-03 3.743251e-03)
8.000000e+02	bottomWall	(-2.368704e-02 -3.848759e-04 -3.103087e-03)	(1.791141e-03 1.717315e-03 2.816680e-03)
1.000000e+03	bottomWall	(-2.413482e-02 -5.101363e-04 -4.013776e-03)	(1.559133e-03 1.622508e-03 3.445420e-03)
1.200000e+03	bottomWall	(-3.133052e-02 -6.621207e-04 -3.137958e-03)	(1.649715e-03 3.188927e-03 3.704234e-03)
1.400000e+03	bottomWall	(-2.901787e-02 -2.818426e-04 -3.422328e-03)	(2.708350e-03 2.229126e-03 4.005493e-03)
1.600000e+03	bottomWall	(-3.144541e-02 -2.331556e-04 -3.182440e-03)	(2.551890e-03 3.225849e-03 3.383213e-03)
1.800000e+03	bottomWall	(-2.683182e-02 -2.141363e-04 -3.807039e-03)	(3.872675e-03 2.740242e-03 3.911022e-03)
2.000000e+03	bottomWall	(-2.874099e-02 -1.688279e-04 -3.341665e-03)	(3.109698e-03 3.066674e-03 3.376328e-03)
